Timestamp,Packets_per_sec,Packet_Size
2025-11-04 23:06:02.874557,4278,457
2025-11-04 23:06:03.874557,2629,562
2025-11-04 23:06:04.874557,94,1476
2025-11-04 23:06:05.874557,3991,1916
2025-11-04 23:06:06.874557,3156,992
2025-11-04 23:06:07.874557,484,1245
2025-11-04 23:06:08.874557,4069,1312
2025-11-04 23:06:09.874557,4999,1995
2025-11-04 23:06:10.874557,3433,1413
2025-11-04 23:06:11.874557,696,1134
2025-11-04 23:06:12.874557,3399,534
2025-11-04 23:06:13.874557,293,1814
2025-11-04 23:06:14.874557,507,210
2025-11-04 23:06:15.874557,728,1258
2025-11-04 23:06:16.874557,2229,329
2025-11-04 23:06:17.874557,3511,453
2025-11-04 23:06:18.874557,2955,925
2025-11-04 23:06:19.874557,721,913
2025-11-04 23:06:20.874557,722,379
2025-11-04 23:06:21.874557,1477,1064
2025-11-04 23:06:22.874557,3203,1649
2025-11-04 23:06:23.874557,1068,123
2025-11-04 23:06:24.874557,198,1335
2025-11-04 23:06:25.874557,4563,1027
2025-11-04 23:06:26.874557,2791,1532
2025-11-04 23:06:27.874557,3537,1274
2025-11-04 23:06:28.874557,4073,419
2025-11-04 23:06:29.874557,3646,1523
2025-11-04 23:06:30.874557,1264,1599
2025-11-04 23:06:31.874557,3904,383
2025-11-04 23:06:32.874557,1426,157
2025-11-04 23:06:33.874557,1805,1915
2025-11-04 23:06:34.874557,1027,1374
2025-11-04 23:06:35.874557,499,569
2025-11-04 23:06:36.874557,898,332
2025-11-04 23:06:37.874557,604,665
2025-11-04 23:06:38.874557,3624,771
2025-11-04 23:06:39.874557,1925,1932
2025-11-04 23:06:40.874557,1771,1597
2025-11-04 23:06:41.874557,1146,1452
2025-11-04 23:06:42.874557,3777,830
2025-11-04 23:06:43.874557,1060,183
2025-11-04 23:06:44.874557,1497,1981
2025-11-04 23:06:45.874557,3684,1765
2025-11-04 23:06:46.874557,1172,1577
2025-11-04 23:06:47.874557,134,1368
2025-11-04 23:06:48.874557,2686,965
2025-11-04 23:06:49.874557,3374,1466
2025-11-04 23:06:50.874557,1245,1865
2025-11-04 23:06:51.874557,4780,663
2025-11-04 23:06:52.874557,4272,1457
2025-11-04 23:06:53.874557,1459,1407
2025-11-04 23:06:54.874557,2024,1558
2025-11-04 23:06:55.874557,2342,457
2025-11-04 23:06:56.874557,3085,476
2025-11-04 23:06:57.874557,641,947
2025-11-04 23:06:58.874557,4623,444
2025-11-04 23:06:59.874557,4034,504
2025-11-04 23:07:00.874557,4287,1953
2025-11-04 23:07:01.874557,3470,1019
2025-11-04 23:07:02.874557,1674,1489
2025-11-04 23:07:03.874557,1666,853
2025-11-04 23:07:04.874557,4779,648
2025-11-04 23:07:05.874557,1576,799
2025-11-04 23:07:06.874557,3510,1762
2025-11-04 23:07:07.874557,4232,182
2025-11-04 23:07:08.874557,2473,1047
2025-11-04 23:07:09.874557,4063,646
2025-11-04 23:07:10.874557,2215,601
2025-11-04 23:07:11.874557,2088,1429
2025-11-04 23:07:12.874557,1700,359
2025-11-04 23:07:13.874557,2318,584
2025-11-04 23:07:14.874557,1940,1332
2025-11-04 23:07:15.874557,3435,1580
2025-11-04 23:07:16.874557,4038,1369
2025-11-04 23:07:17.874557,3459,364
2025-11-04 23:07:18.874557,2166,440
2025-11-04 23:07:19.874557,3256,893
2025-11-04 23:07:20.874557,1164,1653
2025-11-04 23:07:21.874557,1785,1579
2025-11-04 23:07:22.874557,480,134
2025-11-04 23:07:23.874557,3301,761
2025-11-04 23:07:24.874557,3913,1073
2025-11-04 23:07:25.874557,3821,1359
2025-11-04 23:07:26.874557,2163,573
2025-11-04 23:07:27.874557,3924,473
2025-11-04 23:07:28.874557,136,762
2025-11-04 23:07:29.874557,962,1427
2025-11-04 23:07:30.874557,3584,166
2025-11-04 23:07:31.874557,3469,948
2025-11-04 23:07:32.874557,3122,585
2025-11-04 23:07:33.874557,1653,1080
2025-11-04 23:07:34.874557,4561,1209
2025-11-04 23:07:35.874557,1144,1506
2025-11-04 23:07:36.874557,3270,1797
2025-11-04 23:07:37.874557,3467,1958
2025-11-04 23:07:38.874557,1043,1095
2025-11-04 23:07:39.874557,754,1953
2025-11-04 23:07:40.874557,2584,1535
2025-11-04 23:07:41.874557,2386,245
2025-11-04 23:07:42.874557,3393,439
2025-11-04 23:07:43.874557,3872,1756
2025-11-04 23:07:44.874557,1302,1451
2025-11-04 23:07:45.874557,2216,594
2025-11-04 23:07:46.874557,3178,1042
2025-11-04 23:07:47.874557,1566,333
2025-11-04 23:07:48.874557,3712,1113
2025-11-04 23:07:49.874557,2875,1396
2025-11-04 23:07:50.874557,2817,126
2025-11-04 23:07:51.874557,4122,1572
2025-11-04 23:07:52.874557,3361,1881
2025-11-04 23:07:53.874557,3264,1694
2025-11-04 23:07:54.874557,4180,159
2025-11-04 23:07:55.874557,3846,378
2025-11-04 23:07:56.874557,808,1716
2025-11-04 23:07:57.874557,3713,1825
2025-11-04 23:07:58.874557,2534,872
2025-11-04 23:07:59.874557,1323,903
2025-11-04 23:08:00.874557,2268,1301
2025-11-04 23:08:01.874557,3176,1985
2025-11-04 23:08:02.874557,2143,1690
2025-11-04 23:08:03.874557,2052,944
2025-11-04 23:08:04.874557,1769,206
2025-11-04 23:08:05.874557,783,343
2025-11-04 23:08:06.874557,2227,218
2025-11-04 23:08:07.874557,2178,606
2025-11-04 23:08:08.874557,4420,1865
2025-11-04 23:08:09.874557,1316,1353
2025-11-04 23:08:10.874557,2163,1933
2025-11-04 23:08:11.874557,92,207
2025-11-04 23:08:12.874557,2712,1869
2025-11-04 23:08:13.874557,3064,969
2025-11-04 23:08:14.874557,4182,1067
2025-11-04 23:08:15.874557,2552,1591
2025-11-04 23:08:16.874557,1891,1454
2025-11-04 23:08:17.874557,2336,341
2025-11-04 23:08:18.874557,4233,1899
2025-11-04 23:08:19.874557,4030,332
2025-11-04 23:08:20.874557,136,389
2025-11-04 23:08:21.874557,4450,1244
2025-11-04 23:08:22.874557,3166,762
2025-11-04 23:08:23.874557,2143,1238
2025-11-04 23:08:24.874557,4898,989
2025-11-04 23:08:25.874557,1576,1612
2025-11-04 23:08:26.874557,4897,841
2025-11-04 23:08:27.874557,4400,1054
2025-11-04 23:08:28.874557,3078,1063
2025-11-04 23:08:29.874557,4189,714
2025-11-04 23:08:30.874557,2464,476
2025-11-04 23:08:31.874557,3886,1312
2025-11-04 23:08:32.874557,729,1497
2025-11-04 23:08:33.874557,2083,272
2025-11-04 23:08:34.874557,637,480
2025-11-04 23:08:35.874557,2384,1783
2025-11-04 23:08:36.874557,3333,490
2025-11-04 23:08:37.874557,4168,1689
2025-11-04 23:08:38.874557,4968,629
2025-11-04 23:08:39.874557,1395,1040
2025-11-04 23:08:40.874557,3287,1804
2025-11-04 23:08:41.874557,1173,1316
2025-11-04 23:08:42.874557,4634,1699
2025-11-04 23:08:43.874557,4311,859
2025-11-04 23:08:44.874557,4961,759
2025-11-04 23:08:45.874557,3457,415
2025-11-04 23:08:46.874557,2213,1696
2025-11-04 23:08:47.874557,4568,290
2025-11-04 23:08:48.874557,4558,1277
2025-11-04 23:08:49.874557,3600,180
2025-11-04 23:08:50.874557,108,1990
2025-11-04 23:08:51.874557,3954,1265
2025-11-04 23:08:52.874557,3181,1025
2025-11-04 23:08:53.874557,4343,1020
2025-11-04 23:08:54.874557,1516,1951
2025-11-04 23:08:55.874557,453,710
2025-11-04 23:08:56.874557,4516,1081
2025-11-04 23:08:57.874557,4562,1812
2025-11-04 23:08:58.874557,904,334
2025-11-04 23:08:59.874557,64,635
2025-11-04 23:09:00.874557,4776,799
2025-11-04 23:09:01.874557,4544,1286
2025-11-04 23:09:02.874557,3344,616
2025-11-04 23:09:03.874557,2363,1196
2025-11-04 23:09:04.874557,2842,469
2025-11-04 23:09:05.874557,107,1591
2025-11-04 23:09:06.874557,2385,1330
2025-11-04 23:09:07.874557,1033,1839
2025-11-04 23:09:08.874557,717,133
2025-11-04 23:09:09.874557,1827,212
2025-11-04 23:09:10.874557,3969,716
2025-11-04 23:09:11.874557,2645,1802
2025-11-04 23:09:12.874557,2596,1794
2025-11-04 23:09:13.874557,4601,1524
2025-11-04 23:09:14.874557,4972,294
2025-11-04 23:09:15.874557,4169,338
2025-11-04 23:09:16.874557,4945,1008
2025-11-04 23:09:17.874557,2155,310
2025-11-04 23:09:18.874557,4257,1784
2025-11-04 23:09:19.874557,2334,1552
2025-11-04 23:09:20.874557,2648,1330
2025-11-04 23:09:21.874557,139,1860
2025-11-04 23:09:22.874557,1266,890
2025-11-04 23:09:23.874557,137,1979
2025-11-04 23:09:24.874557,4336,827
2025-11-04 23:09:25.874557,2982,2000
2025-11-04 23:09:26.874557,1472,302
2025-11-04 23:09:27.874557,1746,531
2025-11-04 23:09:28.874557,3874,1824
2025-11-04 23:09:29.874557,1567,1825
2025-11-04 23:09:30.874557,3575,1888
2025-11-04 23:09:31.874557,3254,1969
2025-11-04 23:09:32.874557,51,1548
2025-11-04 23:09:33.874557,1855,1175
2025-11-04 23:09:34.874557,819,1647
2025-11-04 23:09:35.874557,2632,1688
2025-11-04 23:09:36.874557,480,611
2025-11-04 23:09:37.874557,4055,1483
2025-11-04 23:09:38.874557,4189,1046
2025-11-04 23:09:39.874557,1420,1189
2025-11-04 23:09:40.874557,2863,1057
2025-11-04 23:09:41.874557,3678,1544
2025-11-04 23:09:42.874557,1379,1989
2025-11-04 23:09:43.874557,452,1761
2025-11-04 23:09:44.874557,2038,397
2025-11-04 23:09:45.874557,4890,746
2025-11-04 23:09:46.874557,4713,1950
2025-11-04 23:09:47.874557,2693,375
2025-11-04 23:09:48.874557,3074,920
2025-11-04 23:09:49.874557,2948,960
2025-11-04 23:09:50.874557,1175,1942
2025-11-04 23:09:51.874557,4232,1022
2025-11-04 23:09:52.874557,1066,1504
2025-11-04 23:09:53.874557,4116,681
2025-11-04 23:09:54.874557,2105,1465
2025-11-04 23:09:55.874557,2416,1039
2025-11-04 23:09:56.874557,2366,1141
2025-11-04 23:09:57.874557,4555,1953
2025-11-04 23:09:58.874557,157,748
2025-11-04 23:09:59.874557,199,1917
2025-11-04 23:10:00.874557,1590,1843
2025-11-04 23:10:01.874557,4916,1897
2025-11-04 23:10:02.874557,105,979
2025-11-04 23:10:03.874557,4831,1439
2025-11-04 23:10:04.874557,2168,577
2025-11-04 23:10:05.874557,2303,1138
2025-11-04 23:10:06.874557,2989,494
2025-11-04 23:10:07.874557,3678,802
2025-11-04 23:10:08.874557,2863,1031
2025-11-04 23:10:09.874557,931,1829
2025-11-04 23:10:10.874557,2112,1840
2025-11-04 23:10:11.874557,3630,1953
2025-11-04 23:10:12.874557,3601,1482
2025-11-04 23:10:13.874557,3812,301
2025-11-04 23:10:14.874557,4381,1399
2025-11-04 23:10:15.874557,1028,1300
2025-11-04 23:10:16.874557,3250,1248
2025-11-04 23:10:17.874557,4394,1805
2025-11-04 23:10:18.874557,618,1781
2025-11-04 23:10:19.874557,4204,514
2025-11-04 23:10:20.874557,2335,355
2025-11-04 23:10:21.874557,4792,1070
2025-11-04 23:10:22.874557,4036,361
2025-11-04 23:10:23.874557,2628,1767
2025-11-04 23:10:24.874557,3954,1823
2025-11-04 23:10:25.874557,4995,554
2025-11-04 23:10:26.874557,1126,1268
2025-11-04 23:10:27.874557,1890,1950
2025-11-04 23:10:28.874557,3544,1733
2025-11-04 23:10:29.874557,4185,1167
2025-11-04 23:10:30.874557,952,1036
2025-11-04 23:10:31.874557,372,557
2025-11-04 23:10:32.874557,544,1581
2025-11-04 23:10:33.874557,1242,1164
2025-11-04 23:10:34.874557,2687,1873
2025-11-04 23:10:35.874557,4202,1070
2025-11-04 23:10:36.874557,3065,191
2025-11-04 23:10:37.874557,695,1642
2025-11-04 23:10:38.874557,3937,594
2025-11-04 23:10:39.874557,242,1342
2025-11-04 23:10:40.874557,1334,1024
2025-11-04 23:10:41.874557,1688,603
2025-11-04 23:10:42.874557,3262,199
2025-11-04 23:10:43.874557,2512,163
2025-11-04 23:10:44.874557,3261,1737
2025-11-04 23:10:45.874557,838,281
2025-11-04 23:10:46.874557,4747,1513
2025-11-04 23:10:47.874557,2357,974
2025-11-04 23:10:48.874557,538,1291
2025-11-04 23:10:49.874557,498,1904
2025-11-04 23:10:50.874557,4253,904
2025-11-04 23:10:51.874557,3742,331
2025-11-04 23:10:52.874557,3562,1943
2025-11-04 23:10:53.874557,3504,642
2025-11-04 23:10:54.874557,3591,504
2025-11-04 23:10:55.874557,1920,1423
2025-11-04 23:10:56.874557,2635,536
2025-11-04 23:10:57.874557,4663,101
2025-11-04 23:10:58.874557,485,208
2025-11-04 23:10:59.874557,1820,1383
2025-11-04 23:11:00.874557,3187,384
2025-11-04 23:11:01.874557,4018,871
2025-11-04 23:11:02.874557,4253,1608
2025-11-04 23:11:03.874557,3610,1829
2025-11-04 23:11:04.874557,1612,1575
2025-11-04 23:11:05.874557,1275,492
2025-11-04 23:11:06.874557,3431,497
2025-11-04 23:11:07.874557,3908,1500
2025-11-04 23:11:08.874557,3596,1759
2025-11-04 23:11:09.874557,3643,1782
2025-11-04 23:11:10.874557,1975,935
2025-11-04 23:11:11.874557,3237,577
2025-11-04 23:11:12.874557,4080,1776
2025-11-04 23:11:13.874557,2316,938
2025-11-04 23:11:14.874557,952,1617
2025-11-04 23:11:15.874557,343,888
2025-11-04 23:11:16.874557,4054,1352
2025-11-04 23:11:17.874557,2339,809
2025-11-04 23:11:18.874557,3545,521
2025-11-04 23:11:19.874557,3306,1023
2025-11-04 23:11:20.874557,4510,1755
2025-11-04 23:11:21.874557,4880,1734
2025-11-04 23:11:22.874557,2430,270
2025-11-04 23:11:23.874557,4960,688
2025-11-04 23:11:24.874557,1192,1142
2025-11-04 23:11:25.874557,953,1684
2025-11-04 23:11:26.874557,384,1325
2025-11-04 23:11:27.874557,1689,1840
2025-11-04 23:11:28.874557,80,599
2025-11-04 23:11:29.874557,1138,1994
2025-11-04 23:11:30.874557,179,859
2025-11-04 23:11:31.874557,1988,1692
2025-11-04 23:11:32.874557,2434,789
2025-11-04 23:11:33.874557,3855,1946
2025-11-04 23:11:34.874557,4934,153
2025-11-04 23:11:35.874557,670,1330
2025-11-04 23:11:36.874557,2439,1999
2025-11-04 23:11:37.874557,4227,315
2025-11-04 23:11:38.874557,2443,1873
2025-11-04 23:11:39.874557,482,145
2025-11-04 23:11:40.874557,3034,523
2025-11-04 23:11:41.874557,4369,1656
2025-11-04 23:11:42.874557,3410,1527
2025-11-04 23:11:43.874557,2334,515
2025-11-04 23:11:44.874557,3962,1314
2025-11-04 23:11:45.874557,4808,1206
2025-11-04 23:11:46.874557,2293,1595
2025-11-04 23:11:47.874557,1064,1579
2025-11-04 23:11:48.874557,1935,814
2025-11-04 23:11:49.874557,82,1310
2025-11-04 23:11:50.874557,2098,1803
2025-11-04 23:11:51.874557,987,907
2025-11-04 23:11:52.874557,1005,115
2025-11-04 23:11:53.874557,4986,278
2025-11-04 23:11:54.874557,1112,767
2025-11-04 23:11:55.874557,2798,226
2025-11-04 23:11:56.874557,125,1603
2025-11-04 23:11:57.874557,3695,1178
2025-11-04 23:11:58.874557,313,1064
2025-11-04 23:11:59.874557,1855,1418
2025-11-04 23:12:00.874557,1014,1697
2025-11-04 23:12:01.874557,4351,1740
2025-11-04 23:12:02.874557,4011,371
2025-11-04 23:12:03.874557,2831,1455
2025-11-04 23:12:04.874557,3317,748
2025-11-04 23:12:05.874557,692,1090
2025-11-04 23:12:06.874557,1656,506
2025-11-04 23:12:07.874557,2792,260
2025-11-04 23:12:08.874557,1263,1517
2025-11-04 23:12:09.874557,2724,1225
2025-11-04 23:12:10.874557,2431,1699
2025-11-04 23:12:11.874557,3030,680
2025-11-04 23:12:12.874557,3390,1019
2025-11-04 23:12:13.874557,743,853
2025-11-04 23:12:14.874557,1167,1151
2025-11-04 23:12:15.874557,3000,1469
2025-11-04 23:12:16.874557,3625,1571
2025-11-04 23:12:17.874557,2694,1482
2025-11-04 23:12:18.874557,349,1229
2025-11-04 23:12:19.874557,862,548
2025-11-04 23:12:20.874557,283,322
2025-11-04 23:12:21.874557,3562,257
2025-11-04 23:12:22.874557,4967,210
2025-11-04 23:12:23.874557,1752,156
2025-11-04 23:12:24.874557,1996,1826
2025-11-04 23:12:25.874557,1629,1729
2025-11-04 23:12:26.874557,3508,737
2025-11-04 23:12:27.874557,4427,270
2025-11-04 23:12:28.874557,3589,1635
2025-11-04 23:12:29.874557,3853,290
2025-11-04 23:12:30.874557,969,1268
2025-11-04 23:12:31.874557,289,1831
2025-11-04 23:12:32.874557,898,1692
2025-11-04 23:12:33.874557,3298,1044
2025-11-04 23:12:34.874557,605,787
2025-11-04 23:12:35.874557,2259,1598
2025-11-04 23:12:36.874557,1081,724
2025-11-04 23:12:37.874557,4153,1558
2025-11-04 23:12:38.874557,1930,966
2025-11-04 23:12:39.874557,4836,109
2025-11-04 23:12:40.874557,131,909
2025-11-04 23:12:41.874557,4563,226
2025-11-04 23:12:42.874557,705,581
2025-11-04 23:12:43.874557,2224,1526
2025-11-04 23:12:44.874557,2653,275
2025-11-04 23:12:45.874557,904,370
2025-11-04 23:12:46.874557,4851,224
2025-11-04 23:12:47.874557,1573,1019
2025-11-04 23:12:48.874557,724,1584
2025-11-04 23:12:49.874557,407,1159
2025-11-04 23:12:50.874557,1614,586
2025-11-04 23:12:51.874557,3522,567
2025-11-04 23:12:52.874557,2855,826
2025-11-04 23:12:53.874557,153,1361
2025-11-04 23:12:54.874557,4995,1602
2025-11-04 23:12:55.874557,3773,1907
2025-11-04 23:12:56.874557,1791,1503
2025-11-04 23:12:57.874557,3393,979
2025-11-04 23:12:58.874557,3320,1786
2025-11-04 23:12:59.874557,916,1044
2025-11-04 23:13:00.874557,1526,158
2025-11-04 23:13:01.874557,3420,1838
2025-11-04 23:13:02.874557,1531,1284
2025-11-04 23:13:03.874557,3627,1927
2025-11-04 23:13:04.874557,4161,1792
2025-11-04 23:13:05.874557,4978,664
2025-11-04 23:13:06.874557,2694,1420
2025-11-04 23:13:07.874557,3711,419
2025-11-04 23:13:08.874557,1708,559
2025-11-04 23:13:09.874557,1420,431
2025-11-04 23:13:10.874557,1850,528
2025-11-04 23:13:11.874557,1036,1344
2025-11-04 23:13:12.874557,2420,1185
2025-11-04 23:13:13.874557,4936,1961
2025-11-04 23:13:14.874557,1449,269
2025-11-04 23:13:15.874557,3775,1434
2025-11-04 23:13:16.874557,3849,1972
2025-11-04 23:13:17.874557,2966,1247
2025-11-04 23:13:18.874557,1101,1696
2025-11-04 23:13:19.874557,2507,1954
2025-11-04 23:13:20.874557,4192,398
2025-11-04 23:13:21.874557,1221,1788
2025-11-04 23:13:22.874557,831,1929
2025-11-04 23:13:23.874557,3097,1697
2025-11-04 23:13:24.874557,947,197
2025-11-04 23:13:25.874557,3273,244
2025-11-04 23:13:26.874557,2506,354
2025-11-04 23:13:27.874557,3602,304
2025-11-04 23:13:28.874557,4011,144
2025-11-04 23:13:29.874557,1001,200
2025-11-04 23:13:30.874557,1434,1237
2025-11-04 23:13:31.874557,473,1570
2025-11-04 23:13:32.874557,4125,988
2025-11-04 23:13:33.874557,1576,887
2025-11-04 23:13:34.874557,1929,1078
2025-11-04 23:13:35.874557,4844,213
2025-11-04 23:13:36.874557,1905,1657
2025-11-04 23:13:37.874557,3472,982
2025-11-04 23:13:38.874557,3657,689
2025-11-04 23:13:39.874557,641,1630
2025-11-04 23:13:40.874557,4190,1932
2025-11-04 23:13:41.874557,4939,1382
2025-11-04 23:13:42.874557,2797,1797
2025-11-04 23:13:43.874557,1904,577
2025-11-04 23:13:44.874557,1962,1125
2025-11-04 23:13:45.874557,239,1743
2025-11-04 23:13:46.874557,3456,1955
2025-11-04 23:13:47.874557,1350,1914
2025-11-04 23:13:48.874557,2799,1374
2025-11-04 23:13:49.874557,550,1368
2025-11-04 23:13:50.874557,2791,1938
2025-11-04 23:13:51.874557,4441,1215
2025-11-04 23:13:52.874557,3437,438
2025-11-04 23:13:53.874557,4795,601
2025-11-04 23:13:54.874557,3153,1752
2025-11-04 23:13:55.874557,4048,177
2025-11-04 23:13:56.874557,2520,1839
2025-11-04 23:13:57.874557,1955,830
2025-11-04 23:13:58.874557,4559,950
2025-11-04 23:13:59.874557,311,1157
2025-11-04 23:14:00.874557,480,1802
2025-11-04 23:14:01.874557,3291,1681
2025-11-04 23:14:02.874557,4451,619
2025-11-04 23:14:03.874557,4083,1956
2025-11-04 23:14:04.874557,2750,1731
2025-11-04 23:14:05.874557,1467,1152
2025-11-04 23:14:06.874557,1237,1676
2025-11-04 23:14:07.874557,531,1854
2025-11-04 23:14:08.874557,1819,1726
2025-11-04 23:14:09.874557,1307,431
2025-11-04 23:14:10.874557,2646,1766
2025-11-04 23:14:11.874557,2594,346
2025-11-04 23:14:12.874557,3123,286
2025-11-04 23:14:13.874557,4697,1162
2025-11-04 23:14:14.874557,1873,1892
2025-11-04 23:14:15.874557,1827,1873
2025-11-04 23:14:16.874557,2852,1627
2025-11-04 23:14:17.874557,395,538
2025-11-04 23:14:18.874557,497,1557
2025-11-04 23:14:19.874557,780,501
2025-11-04 23:14:20.874557,385,663
2025-11-04 23:14:21.874557,1507,710
2025-11-04 23:14:22.874557,4058,852
2025-11-04 23:14:23.874557,734,257
2025-11-04 23:14:24.874557,742,463
2025-11-04 23:14:25.874557,337,1268
2025-11-04 23:14:26.874557,4164,407
2025-11-04 23:14:27.874557,912,889
2025-11-04 23:14:28.874557,2181,421
2025-11-04 23:14:29.874557,2284,668
2025-11-04 23:14:30.874557,293,193
2025-11-04 23:14:31.874557,3321,709
2025-11-04 23:14:32.874557,3095,903
2025-11-04 23:14:33.874557,990,1212
2025-11-04 23:14:34.874557,4046,1630
2025-11-04 23:14:35.874557,1867,1874
2025-11-04 23:14:36.874557,2138,162
2025-11-04 23:14:37.874557,814,1887
2025-11-04 23:14:38.874557,3335,942
2025-11-04 23:14:39.874557,4303,1092
2025-11-04 23:14:40.874557,3824,1297
2025-11-04 23:14:41.874557,3514,887
2025-11-04 23:14:42.874557,2953,359
2025-11-04 23:14:43.874557,755,1755
2025-11-04 23:14:44.874557,3068,1515
2025-11-04 23:14:45.874557,3469,799
2025-11-04 23:14:46.874557,4383,901
2025-11-04 23:14:47.874557,4805,835
2025-11-04 23:14:48.874557,3247,1499
2025-11-04 23:14:49.874557,4168,1338
2025-11-04 23:14:50.874557,365,1086
2025-11-04 23:14:51.874557,2764,656
2025-11-04 23:14:52.874557,2228,1099
2025-11-04 23:14:53.874557,1487,530
2025-11-04 23:14:54.874557,177,725
2025-11-04 23:14:55.874557,4422,1408
2025-11-04 23:14:56.874557,217,554
2025-11-04 23:14:57.874557,77,1558
2025-11-04 23:14:58.874557,1953,1539
2025-11-04 23:14:59.874557,2285,1021
2025-11-04 23:15:00.874557,3456,630
2025-11-04 23:15:01.874557,255,1673
2025-11-04 23:15:02.874557,2880,612
2025-11-04 23:15:03.874557,1011,494
2025-11-04 23:15:04.874557,435,137
2025-11-04 23:15:05.874557,2091,1330
2025-11-04 23:15:06.874557,4785,1931
2025-11-04 23:15:07.874557,3841,1112
2025-11-04 23:15:08.874557,4902,1337
2025-11-04 23:15:09.874557,3305,212
2025-11-04 23:15:10.874557,346,731
2025-11-04 23:15:11.874557,3708,1460
